time_index,time,sza,saa,valid,shift_x_px,shift_y_px,shift_x_m,shift_y_m,displacement_m,direction_deg,rmse_before,rmse_after,rmse_improvement,rmse_improvement_rel,h_eff_m
0,2026-06-06 08:00:00,45.512,292.636,True,-33,14,-8261.362852697883,3506.5799999999936,8974.754563793735,292.99905693180483,30.303022,24.42857,5.8744526,0.19385698,8815.772654887018
1,2026-06-06 08:15:00,43.423,296.573,True,-30,15,-7510.329866088985,3757.0499999999934,8397.64725384248,296.5765548567854,53.74086,35.987133,17.753727,0.3303581,8873.125349538801
2,2026-06-06 08:30:00,41.407,300.741,True,-27,16,-6759.296879480086,4007.5199999999927,7858.009344315466,300.6632807494662,65.54957,52.58642,12.96315,0.19776103,8910.967107458737
3,2026-06-06 08:45:00,39.479,305.169,True,-23,16,-5757.919564001555,4007.5199999999927,7015.258673485376,304.8379703230296,61.49145,51.77339,9.71806,0.1580392,8516.547161707194
4,2026-06-06 09:00:00,37.657,309.886,True,-3,3,-751.0329866088985,751.4099999999986,1062.3876576253508,315.014377434531,96.59867,36.98859,59.61008,0.61709005,1376.7031294173185
5,2026-06-06 09:15:00,35.96,314.919,True,-3,3,-751.0329866088985,751.4099999999986,1062.3876576253508,315.014377434531,157.90013,45.13355,112.76659,0.71416396,1464.3999872107206
6,2026-06-06 09:30:00,34.41,320.287,True,-3,3,-751.0329866088985,751.4099999999986,1062.3876576253508,315.014377434531,200.99498,73.07566,127.91932,0.63643044,1550.9972724006022
7,2026-06-06 09:45:00,33.031,326.004,True,-2,3,-500.68865773926564,751.4099999999986,902.943032582203,326.3232026713447,250.95932,89.80345,161.15587,0.64215934,1388.764755477119
8,2026-06-06 10:00:00,31.848,332.066,True,-2,4,-500.68865773926564,1001.8799999999982,1120.023511533907,333.4464490391596,304.60516,116.76909,187.83607,0.6166543,1803.0384854256724
9,2026-06-06 10:15:00,30.885,338.451,True,-2,4,-500.68865773926564,1001.8799999999982,1120.023511533907,333.4464490391596,341.8177,155.06326,186.75443,0.5463568,1872.5352525331657
10,2026-06-06 10:30:00,30.166,345.115,True,-1,4,-250.34432886963282,1001.8799999999982,1032.683793519189,345.97052088601913,380.5311,160.72783,219.80327,0.57762235,1776.7527635848135
11,2026-06-06 10:45:00,29.709,351.988,True,-1,4,-250.34432886963282,1001.8799999999982,1032.683793519189,345.97052088601913,385.06567,161.44661,223.61906,0.58072966,1809.8268007283334
12,2026-06-06 11:00:00,29.527,358.98,True,0,4,0.0,1001.8799999999982,1001.8799999999982,0.0,380.83054,151.1659,229.66464,0.60306257,1768.8714658712622
13,2026-06-06 11:15:00,29.625,5.988,True,1,5,250.34432886963282,1252.3499999999976,1277.1267773784955,11.304403971981795,385.09042,175.86182,209.2286,0.54332334,2245.8674299670665
14,2026-06-06 11:30:00,30.001,12.906,True,1,4,250.34432886963282,1001.8799999999982,1032.683793519189,14.029479113980885,380.50903,159.29805,221.21098,0.5813554,1788.5887057782434
15,2026-06-06 11:45:00,30.644,19.641,True,2,5,500.68865773926564,1252.3499999999976,1348.728903259933,21.791495815570563,369.30087,150.18045,219.12042,0.5933385,2276.5840791233472
